Employee_ID,Name,Region,Department,Hire_Date
EMP00001,Allison Hill,APAC,Trading Ops,2024-06-24
EMP00002,Noah Rhodes,NA,Client Services,2018-09-14
EMP00003,Angie Henderson,NA,Client Services,2022-04-26
EMP00004,Daniel Wagner,EMEA,Settlements,2016-11-08
EMP00005,Cristian Santos,APAC,Risk,2019-07-05
EMP00006,Connie Lawrence,APAC,Risk,2021-10-04
EMP00007,Abigail Shaffer,APAC,Trading Ops,2015-11-22
EMP00008,Gina Moore,NA,Client Services,2015-09-16
EMP00009,Gabrielle Davis,EMEA,Settlements,2024-08-26
EMP00010,Ryan Munoz,NA,Client Services,2019-05-07
EMP00011,Monica Herrera,APAC,Trading Ops,2020-01-11
EMP00012,Jamie Arnold,NA,Client Services,2020-03-09
EMP00013,Lisa Hensley,NA,Settlements,2017-11-05
EMP00014,Michele Williams,APAC,Trading Ops,2023-06-11
EMP00015,Dylan Miller,APAC,Client Services,2021-04-25
EMP00016,Brian Ramirez,APAC,Trading Ops,2019-10-24
EMP00017,Holly Wood,APAC,Trading Ops,2017-07-08
EMP00018,Derek Zuniga,EMEA,Client Services,2023-04-16
EMP00019,Lisa Jackson,EMEA,Client Services,2015-10-21
EMP00020,Carla Gray,APAC,Settlements,2017-01-21
EMP00021,Margaret Hawkins DDS,EMEA,Settlements,2020-05-20
EMP00022,Patty Perez,APAC,Settlements,2016-10-05
EMP00023,Ethan Adams,APAC,Trading Ops,2024-07-30
EMP00024,Tommy Walter,APAC,Trading Ops,2018-01-20
EMP00025,Matthew Foster,EMEA,Risk,2021-02-21
EMP00026,Judy Baker,NA,Risk,2022-11-08
EMP00027,Justin Baker,APAC,Risk,2016-04-22
EMP00028,Stephanie Ross,EMEA,Risk,2015-07-08
EMP00029,Zachary Hicks,EMEA,Trading Ops,2024-04-30
EMP00030,Anthony Rodriguez,APAC,Settlements,2016-02-10
EMP00031,Rebecca Henderson,EMEA,Trading Ops,2016-06-26
EMP00032,James Ferrell,APAC,Settlements,2020-11-22
EMP00033,Tricia Valencia,APAC,Settlements,2020-05-01
EMP00034,Nathan Maldonado,NA,Client Services,2017-04-26
EMP00035,Debra Davidson,NA,Settlements,2023-07-13
EMP00036,Jeffrey Chavez,NA,Trading Ops,2019-10-29
EMP00037,Sherri Baker,APAC,Trading Ops,2019-12-17
EMP00038,Cassandra Gaines,APAC,Risk,2022-06-25
EMP00039,Elizabeth Fowler,EMEA,Settlements,2018-04-12
EMP00040,Brittany Farmer,EMEA,Trading Ops,2023-07-26
EMP00041,Paula Moreno,APAC,Trading Ops,2017-02-16
EMP00042,Fred Smith,EMEA,Risk,2020-10-24
EMP00043,Sherry Decker,APAC,Trading Ops,2016-12-03
EMP00044,Anthony Humphrey,NA,Client Services,2024-11-26
EMP00045,Angelica Tucker,APAC,Risk,2023-02-16
EMP00046,Philip Cannon,EMEA,Trading Ops,2024-12-12
EMP00047,John Pierce,APAC,Trading Ops,2018-07-08
EMP00048,Shane Henderson,EMEA,Client Services,2017-12-29
EMP00049,Joshua Blair,EMEA,Settlements,2023-11-28
EMP00050,Eric Carney,APAC,Settlements,2017-08-09
EMP00051,Jessica Holmes,NA,Client Services,2022-05-05
EMP00052,Danny Morgan,NA,Client Services,2019-10-13
EMP00053,Crystal Robinson,NA,Client Services,2018-02-08
EMP00054,Mark Perez,NA,Risk,2021-10-22
EMP00055,Shannon Jones,EMEA,Settlements,2021-12-12
EMP00056,Michael Lewis,NA,Trading Ops,2015-08-16
EMP00057,Timothy Duncan,APAC,Risk,2022-09-20
EMP00058,Richard Aguirre,APAC,Settlements,2020-01-04
EMP00059,Brent Jordan,APAC,Settlements,2017-05-28
EMP00060,John Daniel,APAC,Client Services,2019-07-29
EMP00061,Victoria Garcia,APAC,Trading Ops,2022-08-31
EMP00062,Gerald Hensley,APAC,Settlements,2024-11-11
EMP00063,Connor West,NA,Trading Ops,2023-06-06
EMP00064,Donald Wright,APAC,Settlements,2016-01-27
EMP00065,Jessica Callahan,APAC,Trading Ops,2021-11-09
EMP00066,Amber Kidd,EMEA,Trading Ops,2018-12-26
EMP00067,Tracy House,APAC,Trading Ops,2018-07-15
EMP00068,Carol Tucker,NA,Settlements,2017-11-01
EMP00069,James Brown,APAC,Risk,2015-08-28
EMP00070,William Baker,NA,Settlements,2018-07-24
EMP00071,Jordan Henderson,NA,Client Services,2020-04-21
EMP00072,Whitney Peters,APAC,Settlements,2023-02-19
EMP00073,Brittney Phillips,APAC,Trading Ops,2022-09-16
EMP00074,Lauren Daniels,NA,Client Services,2022-01-19
EMP00075,Amy Silva,NA,Trading Ops,2016-08-25
EMP00076,Sarah Moore,NA,Client Services,2018-03-07
EMP00077,Angela Lopez,NA,Trading Ops,2017-09-19
EMP00078,Megan Young,APAC,Client Services,2016-09-04
EMP00079,Steve Sanchez,APAC,Trading Ops,2018-09-03
EMP00080,Lisa Barnes,APAC,Client Services,2016-06-12
EMP00081,Kelly Donovan,NA,Settlements,2020-08-19
EMP00082,Mike Allen,EMEA,Client Services,2016-08-24
EMP00083,Michael Evans,APAC,Trading Ops,2024-12-27
EMP00084,Paul Jones,APAC,Settlements,2021-12-01
EMP00085,Zachary Ferrell,APAC,Client Services,2021-08-30
EMP00086,Daniel Baker,APAC,Settlements,2022-11-19
EMP00087,Shirley Suarez,NA,Settlements,2022-08-08
EMP00088,Christopher Bass,EMEA,Risk,2022-04-15
EMP00089,Lisa Archer,NA,Settlements,2016-12-22
EMP00090,Aimee Montoya,EMEA,Settlements,2015-08-20
EMP00091,Matthew Mcmillan,APAC,Settlements,2024-11-15
EMP00092,Brian Rodriguez,NA,Client Services,2017-01-08
EMP00093,Denise Jacobs,NA,Trading Ops,2017-02-21
EMP00094,Christina Walters,EMEA,Trading Ops,2016-10-31
EMP00095,John Whitehead,NA,Client Services,2017-08-07
EMP00096,Anna Henderson,EMEA,Client Services,2024-04-07
EMP00097,Aaron Wise,EMEA,Settlements,2023-12-28
EMP00098,Deborah Figueroa,EMEA,Settlements,2023-04-06
